latitude,longitude
42.160,21.188
42.150,21.194
42.135,21.211
42.129,21.214
42.107,21.212
42.100,21.218
42.096,21.226
42.097,21.236
42.095,21.244
42.099,21.251
42.099,21.279
42.103,21.288
42.110,21.293
42.114,21.300
42.111,21.315
42.112,21.319
42.119,21.314
42.137,21.297
42.142,21.302
42.158,21.312
42.164,21.310
42.171,21.310
42.175,21.322
42.180,21.328
42.187,21.329
42.195,21.327
42.200,21.329
42.204,21.335
42.204,21.343
42.207,21.348
42.215,21.351
42.220,21.355
42.231,21.374
42.244,21.387
42.244,21.419
42.241,21.423
42.237,21.423
42.235,21.427
42.235,21.435
42.237,21.440
42.245,21.447
42.249,21.453
42.249,21.462
42.247,21.466
42.243,21.470
42.240,21.478
42.243,21.486
42.248,21.491
42.254,21.491
42.255,21.508
42.251,21.515
42.248,21.527
42.248,21.535
42.252,21.543
42.251,21.558
42.253,21.565
42.259,21.572
42.264,21.580
42.264,21.586
42.260,21.592
42.258,21.602
42.259,21.609
42.255,21.626
42.248,21.645
42.236,21.692
42.237,21.702
42.242,21.707
42.265,21.723
42.266,21.730
42.264,21.737
42.260,21.740
42.260,21.762
42.264,21.765
42.272,21.768
42.279,21.776
42.282,21.783
42.287,21.786
42.291,21.787
42.295,21.789
42.295,21.805
42.301,21.821
42.308,21.832
42.318,21.834
42.323,21.842
42.323,21.859
42.316,21.863
42.313,21.868
42.312,21.880
42.310,21.887
42.306,21.890
42.303,21.910
42.304,21.920
42.305,21.927
42.310,21.930
42.337,21.928
42.342,21.930
42.346,21.944
42.339,21.958
42.329,21.974
42.324,21.988
42.317,22.004
42.305,22.020
42.303,22.028
42.303,22.038
42.305,22.044
42.305,22.052
42.301,22.064
42.303,22.092
42.313,22.104
42.315,22.112
42.314,22.121
42.310,22.124
42.309,22.130
42.313,22.138
42.321,22.146
42.320,22.157
42.316,22.161
42.313,22.164
42.311,22.169
42.312,22.174
42.326,22.190
42.339,22.193
42.341,22.197
42.338,22.218
42.336,22.223
42.336,22.232
42.340,22.238
42.344,22.240
42.353,22.237
42.366,22.257
42.366,22.264
42.364,22.269
42.364,22.279
42.369,22.282
42.374,22.290
42.373,22.296
42.370,22.299
42.363,22.299
42.359,22.294
42.352,22.289
42.348,22.290
42.344,22.303
42.340,22.306
42.323,22.331
42.313,22.360
42.316,22.362
42.318,22.363
42.321,22.366
42.324,22.365
42.321,22.369
42.323,22.377
42.323,22.386
42.326,22.388
42.326,22.399
42.329,22.401
42.332,22.404
42.332,22.409
42.329,22.413
42.330,22.421
42.333,22.423
42.325,22.432
42.323,22.432
42.325,22.437
42.329,22.440
42.331,22.448
42.331,22.453
42.335,22.455
42.337,22.458
42.341,22.460
42.344,22.464
42.347,22.461
42.353,22.461
42.357,22.460
42.362,22.460
42.370,22.465
42.371,22.468
42.376,22.468
42.380,22.480
42.385,22.481
42.394,22.478
42.394,22.484
42.396,22.492
42.397,22.508
42.395,22.514
42.397,22.521
42.401,22.520
42.405,22.523
42.413,22.523
42.418,22.526
42.421,22.535
42.428,22.537
42.432,22.535
42.435,22.537
42.437,22.537
42.441,22.541
42.446,22.541
42.449,22.546
42.453,22.539
42.458,22.544
42.463,22.544
42.471,22.554
42.473,22.553
42.481,22.560
42.487,22.558
42.494,22.553
42.496,22.551
42.499,22.552
42.505,22.547
42.507,22.547
42.514,22.537
42.519,22.528
42.528,22.521
42.527,22.514
42.531,22.509
42.534,22.500
42.549,22.489
42.554,22.476
42.562,22.471
42.567,22.451
42.565,22.439
42.572,22.437
42.577,22.440
42.582,22.438
42.585,22.440
42.589,22.445
42.593,22.445
42.595,22.448
42.615,22.451
42.618,22.455
42.621,22.459
42.630,22.458
42.632,22.465
42.640,22.467
42.645,22.455
42.647,22.462
42.653,22.461
42.655,22.459
42.659,22.466
42.663,22.468
42.668,22.473
42.676,22.475
42.682,22.469
42.684,22.460
42.689,22.458
42.691,22.461
42.691,22.467
42.695,22.472
42.701,22.470
42.705,22.474
42.710,22.474
42.715,22.483
42.721,22.485
42.723,22.497
42.732,22.495
42.741,22.500
42.744,22.498
42.749,22.492
42.748,22.487
42.760,22.480
42.763,22.476
42.768,22.476
42.770,22.471
42.778,22.460
42.790,22.458
42.794,22.454
42.795,22.450
42.802,22.448
42.806,22.441
42.814,22.440
42.822,22.439
42.824,22.441
42.824,22.447
42.830,22.455
42.830,22.461
42.833,22.465
42.830,22.468
42.831,22.475
42.838,22.482
42.840,22.488
42.844,22.491
42.850,22.499
42.850,22.507
42.854,22.510
42.856,22.515
42.860,22.516
42.863,22.513
42.864,22.517
42.869,22.514
42.877,22.519
42.877,22.528
42.882,22.535
42.873,22.551
42.870,22.564
42.863,22.575
42.871,22.572
42.874,22.574
42.875,22.572
42.884,22.580
42.892,22.583
42.891,22.591
42.894,22.598
42.891,22.603
42.894,22.606
42.893,22.608
42.896,22.619
42.893,22.620
42.892,22.624
42.886,22.628
42.878,22.640
42.882,22.651
42.882,22.659
42.877,22.665
42.875,22.674
42.873,22.672
42.870,22.675
42.866,22.674
42.864,22.677
42.868,22.682
42.872,22.682
42.878,22.695
42.884,22.694
42.884,22.701
42.879,22.705
42.883,22.707
42.887,22.713
42.885,22.720
42.889,22.730
42.885,22.736
42.887,22.743
42.895,22.753
42.899,22.752
42.902,22.759
42.907,22.762
42.912,22.760
42.918,22.767
42.918,22.773
42.929,22.779
42.931,22.780
42.936,22.772
42.939,22.774
42.948,22.767
42.949,22.768
42.949,22.773
42.949,22.775
42.951,22.775
42.950,22.776
42.950,22.778
42.953,22.778
42.953,22.780
42.951,22.780
42.950,22.781
42.951,22.782
42.953,22.783
42.954,22.782
42.954,22.781
42.955,22.781
42.957,22.784
42.959,22.785
42.961,22.783
42.964,22.783
42.967,22.785
42.968,22.787
42.972,22.784
42.974,22.784
42.976,22.786
42.977,22.784
42.979,22.785
42.982,22.784
42.985,22.796
42.994,22.824
43.005,22.850
43.022,22.863
43.036,22.898
43.048,22.900
43.055,22.908
43.057,22.908
43.059,22.911
43.063,22.912
43.077,22.919
43.080,22.919
43.088,22.932
43.092,22.953
43.096,22.955
43.096,22.960
43.111,22.983
43.116,22.984
43.122,22.984
43.125,22.988
43.128,22.992
43.141,22.995
43.143,22.994
43.146,22.995
43.151,22.994
43.156,22.998
43.160,22.996
43.164,22.991
43.167,22.986
43.178,22.997
43.179,22.999
43.187,23.005
43.192,23.006
43.198,22.991
43.204,22.981
43.208,22.961
43.206,22.952
43.204,22.940
43.217,22.924
43.219,22.919
43.222,22.907
43.224,22.901
43.226,22.899
43.227,22.896
43.231,22.895
43.234,22.893
43.235,22.888
43.241,22.885
43.245,22.883
43.257,22.868
43.268,22.868
43.271,22.863
43.274,22.861
43.276,22.852
43.276,22.848
43.277,22.847
43.281,22.847
43.286,22.841
43.298,22.844
43.302,22.838
43.306,22.837
43.313,22.832
43.317,22.831
43.320,22.827
43.330,22.826
43.332,22.823
43.343,22.794
43.346,22.794
43.352,22.789
43.362,22.775
43.364,22.770
43.377,22.768
43.382,22.756
43.388,22.742
43.390,22.734
43.396,22.723
43.395,22.695
43.394,22.687
43.396,22.676
43.403,22.668
43.412,22.668
43.417,22.664
43.422,22.662
43.423,22.661
43.426,22.661
43.428,22.654
43.431,22.648
43.433,22.639
43.431,22.635
43.429,22.631
43.428,22.627
43.435,22.603
43.436,22.597
43.441,22.591
43.447,22.590
43.457,22.582
43.461,22.577
43.463,22.578
43.464,22.576
43.464,22.571
43.463,22.559
43.462,22.557
43.462,22.553
43.464,22.551
43.464,22.548
43.466,22.543
43.471,22.534
